,dt,o,h,l,c,v,e_dt,key,calculate_volume_stdv_1,calculate_avg_volume_1,calculate_volume_zscore_1,calculate_sum_zscores_1_5,calculate_avg_zscore_sums_1_5,calculate_volume_stdv_2,calculate_avg_volume_2,calculate_volume_zscore_2,calculate_sum_zscores_2_10,calculate_avg_zscore_sums_2_10
0,2013-01-01 09:15:00,909.75,915.0,901.0,913.95,29233,2013-01-01 15:29:00,2013-01-01 09:15:00,0.0,29233.0,,,,0.0,29233.0,,,
1,2013-01-02 09:15:00,918.2,927.0,907.0,908.65,54844,2013-01-02 15:29:00,2013-01-02 09:15:00,12805.5,42038.5,1.0,,,12805.5,42038.5,1.0,,
2,2013-01-03 09:15:00,908.8,926.0,908.8,917.15,99319,2013-01-03 15:29:00,2013-01-03 09:15:00,28955.898155643525,61132.0,1.3187986708178598,,,28955.898155643525,61132.0,1.3187986708178598,,
3,2013-01-04 09:15:00,905.85,938.4,905.85,928.3,132213,2013-01-04 15:29:00,2013-01-04 09:15:00,39701.1131290736,78902.25,1.3428024001916434,,,39701.1131290736,78902.25,1.3428024001916434,,
4,2013-01-07 09:15:00,938.3,938.3,914.0,914.0,56161,2013-01-07 15:29:00,2013-01-07 09:15:00,36656.36396589274,74354.0,-0.4963121824338019,,,36656.36396589274,74354.0,-0.4963121824338019,,
5,2013-01-08 09:15:00,918.45,923.0,909.0,916.0,35733,2013-01-08 15:29:00,2013-01-08 09:15:00,36426.70677042998,67917.16666666667,-0.8835321531946099,2.2817567353810917,,36426.70677042998,67917.16666666667,-0.8835321531946099,,
6,2013-01-09 09:15:00,901.0,923.0,901.0,915.95,26636,2013-01-09 15:29:00,2013-01-09 09:15:00,36688.09986291223,62019.857142857145,-0.9644505241501062,0.31730621123098524,,36688.09986291223,62019.857142857145,-0.9644505241501062,,
7,2013-01-10 09:15:00,919.15,921.0,904.0,905.95,40007,2013-01-10 15:29:00,2013-01-10 09:15:00,35082.24594702426,59268.25,-0.5490312686675003,-1.550523728254375,,35082.24594702426,59268.25,-0.5490312686675003,,
8,2013-01-11 09:15:00,910.05,913.85,883.6,892.0,50561,2013-01-11 15:29:00,2013-01-11 09:15:00,33188.86028901792,58300.77777777778,-0.23320408445416993,-3.1265302129001884,,33188.86028901792,58300.77777777778,-0.23320408445416993,,
9,2013-01-14 09:15:00,894.15,894.15,865.1,867.0,88423,2013-01-14 15:29:00,2013-01-14 09:15:00,32756.858014773028,61313.0,0.827612953225662,-1.8026050772407243,-0.7761192143566421,32756.858014773028,61313.0,0.827612953225662,,
10,2013-01-15 09:15:00,870.45,899.0,866.0,867.0,143287,2013-01-15 15:29:00,2013-01-15 09:15:00,39125.6356249691,68765.18181818182,1.9046800643990056,0.9856071403528912,-1.0353491333622822,39125.6356249691,68765.18181818182,1.9046800643990056,3.2673638757339827,
11,2013-01-16 09:15:00,887.8,895.8,835.1,840.0,246628,2013-01-16 15:29:00,2013-01-16 09:15:00,61804.72333009607,83587.08333333333,2.6380009145235217,4.588058579026519,-0.18119865980317548,61804.72333009607,83587.08333333333,2.6380009145235217,4.905364790257504,
12,2013-01-17 09:15:00,844.8,858.9,827.5,830.0,117111,2013-01-17 15:29:00,2013-01-17 09:15:00,60048.242573202566,86165.84615384616,0.5153382100804993,5.652428057774519,1.2593916974026034,60048.242573202566,86165.84615384616,0.5153382100804993,4.101904329520144,
13,2013-01-18 09:15:00,835.9,848.85,831.0,840.0,71673,2013-01-18 15:29:00,2013-01-18 09:15:00,57984.19009721177,85130.64285714286,-0.23209158970024105,5.653540552528448,3.0154058504883308,57984.19009721177,85130.64285714286,-0.23209158970024105,2.5270103396282595,
14,2013-01-21 09:15:00,835.1,863.0,833.05,859.6,59647,2013-01-21 15:29:00,2013-01-21 09:15:00,56377.56638175232,83431.73333333334,-0.4218829378387593,4.4040446614640265,4.256735798229281,56377.56638175232,83431.73333333334,-0.4218829378387593,2.601439584223302,
15,2013-01-22 09:15:00,888.0,888.0,860.7,870.0,194122,2013-01-22 15:29:00,2013-01-22 09:15:00,60808.620922401904,90349.875,1.706536399377055,4.205900996442076,4.900794569447118,60808.620922401904,90349.875,1.706536399377055,5.191508136794967,
16,2013-01-23 09:15:00,875.35,882.0,867.0,870.0,106827,2013-01-23 15:29:00,2013-01-23 09:15:00,59120.285844531405,91319.11764705883,0.26231067951400383,1.8302107614325582,4.349225005928326,59120.285844531405,91319.11764705883,0.26231067951400383,6.418269340459077,
17,2013-01-24 09:15:00,870.0,871.0,845.2,855.0,62362,2013-01-24 15:29:00,2013-01-24 09:15:00,57836.20064279128,89710.38888888889,-0.4728593611775846,0.8420131901744744,3.387142032408317,57836.20064279128,89710.38888888889,-0.4728593611775846,6.494441247948993,
18,2013-01-25 09:15:00,853.15,861.75,844.95,860.0,39398,2013-01-25 15:29:00,2013-01-25 09:15:00,57403.730910483624,87062.36842105263,-0.8303357232194762,0.24376905665523918,2.3051877332336748,57403.730910483624,87062.36842105263,-0.8303357232194762,5.8973096091836865,
19,2013-01-28 09:15:00,864.45,864.45,824.95,840.0,75865,2013-01-28 15:29:00,2013-01-28 09:15:00,56003.432989862325,86502.5,-0.18994371294926843,0.47570828154473005,1.5195204572498155,56003.432989862325,86502.5,-0.18994371294926843,4.879752943008756,4.628436419675867
