,dt,o,h,l,c,v,e_dt,key,calculate_volume_stdv_1,calculate_avg_volume_1,calculate_volume_zscore_1,calculate_sum_zscores_1_5,calculate_avg_zscore_sums_1_5,calculate_volume_stdv_2,calculate_avg_volume_2,calculate_volume_zscore_2,calculate_sum_zscores_2_10,calculate_avg_zscore_sums_2_10
0,2013-01-01 09:15:00,550.5,563.9,550.5,560.0,242,2013-01-01 15:29:00,2013-01-01 09:15:00,0.0,242.0,,,,0.0,242.0,,,
1,2013-01-02 09:15:00,588.8,625.0,565.0,608.95,22931,2013-01-02 15:29:00,2013-01-02 09:15:00,11344.5,11586.5,1.0,,,11344.5,11586.5,1.0,,
2,2013-01-03 09:15:00,610.0,648.0,605.65,638.1,31155,2013-01-03 15:29:00,2013-01-03 09:15:00,13072.611173322983,18109.333333333332,0.9979388580981204,,,13072.611173322983,18109.333333333332,0.9979388580981204,,
3,2013-01-04 09:15:00,717.1,717.1,620.1,637.75,4967,2013-01-04 15:29:00,2013-01-04 09:15:00,12671.031753077568,14823.75,-0.7778964011834293,,,12671.031753077568,14823.75,-0.7778964011834293,,
4,2013-01-07 09:15:00,649.9,649.9,625.95,638.0,10729,2013-01-07 15:29:00,2013-01-07 09:15:00,11451.059032246756,14004.8,-0.28606961074737125,,,11451.059032246756,14004.8,-0.28606961074737125,,
5,2013-01-08 09:15:00,611.25,650.0,611.25,645.0,7514,2013-01-08 15:29:00,2013-01-08 09:15:00,10729.573632411184,12923.0,-0.5041206841305279,0.429852162036792,,10729.573632411184,12923.0,-0.5041206841305279,,
6,2013-01-09 09:15:00,650.0,650.0,642.0,642.0,1301,2013-01-09 15:29:00,2013-01-09 09:15:00,10733.908524115604,11262.714285714286,-0.9280602926076322,-1.4982081305708403,,10733.908524115604,11262.714285714286,-0.9280602926076322,,
7,2013-01-10 09:15:00,645.0,656.4,636.2,640.05,15708,2013-01-10 15:29:00,2013-01-10 09:15:00,10147.709346664153,11818.375,0.38330078908681325,-2.1128461995821475,,10147.709346664153,11818.375,0.38330078908681325,,
8,2013-01-11 09:15:00,640.0,692.0,640.0,670.0,40337,2013-01-11 15:29:00,2013-01-11 09:15:00,13109.589428645519,14987.111111111111,1.933690526836586,0.5987407284378679,,13109.589428645519,14987.111111111111,1.933690526836586,,
9,2013-01-14 09:15:00,669.05,674.0,657.4,664.9,3814,2013-01-14 15:29:00,2013-01-14 09:15:00,12880.631139816092,13869.8,-0.7806915585771191,0.10411878060812008,-0.4956685318140416,12880.631139816092,13869.8,-0.7806915585771191,,
10,2013-01-15 09:15:00,664.0,670.0,664.0,668.0,4258,2013-01-15 15:29:00,2013-01-15 09:15:00,12588.214163183824,12996.0,-0.6941413521193205,-0.0859018873806725,-0.5988193416975345,12588.214163183824,12996.0,-0.6941413521193205,0.3439502746561195,
11,2013-01-16 09:15:00,689.0,689.0,635.0,640.0,21362,2013-01-16 15:29:00,2013-01-16 09:15:00,12272.095561566584,13693.166666666666,0.624900066566494,1.4670584717934538,-0.005766021224675644,12272.095561566584,13693.166666666666,0.624900066566494,-0.031149658777386513,
12,2013-01-17 09:15:00,650.0,654.95,635.3,637.35,8082,2013-01-17 15:29:00,2013-01-17 09:15:00,11885.075344347986,13261.538461538461,-0.43580190377182754,0.6479557789348129,0.5463943744787164,11885.075344347986,13261.538461538461,-0.43580190377182754,-1.4648904206473345,
13,2013-01-18 09:15:00,659.0,659.0,632.1,639.85,5300,2013-01-18 15:29:00,2013-01-18 09:15:00,11634.84214305796,12692.857142857143,-0.6354067422623488,-1.921141490164122,0.042417930758318526,11634.84214305796,12692.857142857143,-0.6354067422623488,-1.322400761726254,
14,2013-01-21 09:15:00,642.0,650.0,632.55,639.95,4049,2013-01-21 15:29:00,2013-01-21 09:15:00,11445.257840695422,12116.6,-0.7048858236565344,-1.8453357552435374,-0.347472976412013,11445.257840695422,12116.6,-0.7048858236565344,-1.7412169746354171,
15,2013-01-22 09:15:00,630.25,656.4,630.25,655.0,4575,2013-01-22 15:29:00,2013-01-22 09:15:00,11231.17843048983,11645.25,-0.6295198712902688,-1.7807142744144855,-0.6864354538187756,11231.17843048983,11645.25,-0.6295198712902688,-1.866616161795158,
16,2013-01-23 09:15:00,640.2,656.8,625.0,629.0,8095,2013-01-23 15:29:00,2013-01-23 09:15:00,10927.818656765665,11436.411764705883,-0.30577115796455295,-2.7113854989455324,-1.5221242479665729,10927.818656765665,11436.411764705883,-0.30577115796455295,-1.2443270271520788,
17,2013-01-24 09:15:00,649.95,649.95,589.8,610.0,25063,2013-01-24 15:29:00,2013-01-24 09:15:00,11069.12845220246,12193.444444444445,1.1626530138418312,-1.1129305813318735,-1.8743015200199102,11069.12845220246,12193.444444444445,1.1626530138418312,-0.4649748023970608,
18,2013-01-25 09:15:00,622.8,628.4,606.05,626.4,3313,2013-01-25 15:29:00,2013-01-25 09:15:00,10954.865611963358,11726.052631578947,-0.7679740609863254,-1.2454979000558501,-1.7391728019982557,10954.865611963358,11726.052631578947,-0.7679740609863254,-3.1666393902199723,
19,2013-01-28 09:15:00,639.75,639.75,620.1,621.6,3991,2013-01-28 15:29:00,2013-01-28 09:15:00,10809.745645018666,11339.3,-0.6797847277180138,-1.2203968041173296,-1.6141850117730143,10809.745645018666,11339.3,-0.6797847277180138,-3.0657325593608666,-1.402399748205541
20,2013-01-29 09:15:00,620.0,632.4,611.25,623.0,3281,2013-01-29 15:29:00,2013-01-29 09:15:00,10687.901520484022,10955.57142857143,-0.7180615777440165,-1.3089385105710774,-1.5198298590043327,10687.901520484022,10955.57142857143,-0.7180615777440165,-3.089652784985563,-1.745760054169709
21,2013-01-30 09:15:00,629.75,629.75,622.2,623.05,761,2013-01-30 15:29:00,2013-01-30 09:15:00,10655.901577130282,10492.181818181818,-0.9132199418082934,-1.9163872944148177,-1.3608302180981897,10655.901577130282,10492.181818181818,-0.9132199418082934,-4.62777279336035,-2.2054223676280054
22,2013-01-31 09:15:00,629.8,629.8,615.05,615.05,993,2013-01-31 15:29:00,2013-01-31 09:15:00,10600.189627722106,10079.173913043478,-0.8571708839321983,-3.936211192188847,-1.9254863402695848,10600.189627722106,10079.173913043478,-0.8571708839321983,-5.049141773520721,-2.5638475029153445
23,2013-02-01 09:15:00,619.75,619.8,596.15,610.0,4339,2013-02-01 15:29:00,2013-02-01 09:15:00,10440.20505865027,9840.0,-0.5269053595304746,-3.6951424907329966,-2.4154152584050137,10440.20505865027,9840.0,-0.5269053595304746,-4.940640390788847,-2.925671465821604
24,2013-02-04 09:15:00,605.0,616.0,599.0,604.0,1799,2013-02-04 15:29:00,2013-02-04 09:15:00,10349.91890549873,9518.36,-0.7458377278587991,-3.7611954908737815,-2.923574995756304,10349.91890549873,9518.36,-0.7458377278587991,-4.981592294991112,-3.249708997857173
25,2013-02-05 09:15:00,595.0,595.0,585.15,589.9,3657,2013-02-05 15:29:00,2013-02-05 09:15:00,10211.333650271143,9292.923076923076,-0.5519282074162198,-3.595062120545985,-3.380799717751286,10211.333650271143,9292.923076923076,-0.5519282074162198,-4.9040006311170625,-3.553447444789363
26,2013-02-06 09:15:00,590.0,604.95,590.0,600.0,10792,2013-02-06 15:29:00,2013-02-06 09:15:00,10024.44920194966,9348.444444444445,0.14400347854272103,-2.5378387001949707,-3.505089998907316,10024.44920194966,9348.444444444445,0.14400347854272103,-4.454225994609788,-3.8744373415351347
