,dt,o,h,l,c,v,e_dt,key,calculate_volume_stdv_1,calculate_avg_volume_1,calculate_volume_zscore_1,calculate_sum_zscores_1_5,calculate_avg_zscore_sums_1_5,calculate_volume_stdv_2,calculate_avg_volume_2,calculate_volume_zscore_2,calculate_sum_zscores_2_10,calculate_avg_zscore_sums_2_10
0,2013-01-01 09:15:00,357.8,358.45,353.3,356.35,521555,2013-01-01 15:29:00,2013-01-01 09:15:00,0.0,521555.0,,,,0.0,521555.0,,,
1,2013-01-02 09:15:00,358.7,368.65,356.6,367.5,987050,2013-01-02 15:29:00,2013-01-02 09:15:00,232747.5,754302.5,1.0,,,232747.5,754302.5,1.0,,
2,2013-01-03 09:15:00,368.0,371.0,363.2,366.0,597362,2013-01-03 15:29:00,2013-01-03 09:15:00,203930.5528899483,701989.0,-0.5130521077754457,,,203930.5528899483,701989.0,-0.5130521077754457,,
3,2013-01-04 09:15:00,365.95,379.7,365.95,373.9,1781301,2013-01-04 15:29:00,2013-01-04 09:15:00,499612.0510491115,971817.0,1.6202251292782133,,,499612.0510491115,971817.0,1.6202251292782133,,
4,2013-01-07 09:15:00,376.2,393.3,376.0,387.0,2136641,2013-01-07 15:29:00,2013-01-07 09:15:00,645585.1248278262,1204781.8,1.4434335057650554,,,645585.1248278262,1204781.8,1.4434335057650554,,
5,2013-01-08 09:15:00,387.8,389.8,377.3,380.6,1398773,2013-01-08 15:29:00,2013-01-08 09:15:00,593753.772627921,1237113.6666666667,0.2722666209224037,3.8228731481902267,,593753.772627921,1237113.6666666667,0.2722666209224037,,
6,2013-01-09 09:15:00,381.15,392.9,374.6,384.5,1706799,2013-01-09 15:29:00,2013-01-09 09:15:00,573753.3897371033,1304211.5714285714,0.7016732899057838,3.5245464380960105,,573753.3897371033,1304211.5714285714,0.7016732899057838,,
7,2013-01-10 09:15:00,389.95,395.85,379.1,379.3,3205959,2013-01-10 15:29:00,2013-01-10 09:15:00,826809.646885394,1541930.0,2.0125902089657823,6.050188754837238,,826809.646885394,1541930.0,2.0125902089657823,,
8,2013-01-11 09:15:00,382.0,382.75,368.8,369.9,1227233,2013-01-11 15:29:00,2013-01-11 09:15:00,785772.368725334,1506963.6666666667,-0.35599453200478515,4.07396909355424,,785772.368725334,1506963.6666666667,-0.35599453200478515,,
9,2013-01-14 09:15:00,372.65,376.4,367.8,375.7,1115419,2013-01-14 15:29:00,2013-01-14 09:15:00,754646.9666317886,1467809.2,-0.46696033454268165,2.163575253246503,3.9270305375848436,754646.9666317886,1467809.2,-0.46696033454268165,,
